"page_url","title","cook_time","description","recipe_instructions","image_url","recipe_ingredients","prep_time","servings","total_time","current_timestamp"
"https://www.allrecipes.com/recipe/240438/easy-roasted-broccoli/","Easy Roasted Broccoli","20 min","Roasted broccoli florets and broccoli stems are cooked with just olive oil, salt, and pepper. So much more flavorsome than boiled or steamed broccoli!","Preheat the oven to 400 degrees F (200 degrees C); Cut broccoli florets from the stalk. Peel the stalk and slice into 1/4-inch slices. Mix florets and stem pieces with olive oil in a bowl and transfer to a baking sheet; season with salt and pepper; Roast in the preheated oven until broccoli is tender and lightly browned, about 18 to 20 minutes.","https://www.allrecipes.com/thmb/wzrJD5icKZtvVXJ-47xIJaJszyk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1765553-easy-roasted-broccoli-FranceC-1x1-1-327e091005644ea99b1ce0107d3dd2c6.jpg","14 ounces broccoli, 1 tablespoon olive oil, salt and ground black pepper to taste","10 min","4","30 min","2022-12-17T18:13:28Z"
"https://www.allrecipes.com/recipe/72508/the-best-vegetarian-chili-in-the-world/","The Best Vegetarian Chili in the World","60 min","This vegetarian chili is packed with beans, corn, tomatoes, and bell peppers. Jalapeños, green chiles, and chili powder kick things up a notch!","Heat olive oil in a large pot over medium heat. Stir in onion and season with oregano, salt, cumin, and bay leaves. Cook and stir until onion is tender; stir in celery, green bell peppers, jalapeños, and garlic. Add green chile peppers and cook until heated through. Stir in vegetarian burger crumbles; reduce heat to low, cover pot, and simmer for 5 minutes; Stir in tomatoes; season with chili powder and black pepper. Stir in kidney beans, garbanzo beans, and black beans. Bring to a boil, reduce heat to low, and simmer for 45 minutes; Stir in the corn, and continue cooking for 5 minutes before serving.","https://www.allrecipes.com/thmb/ZKb67Utp4og2zknebxyMuc0iLjc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9215371-The-Best-Vegetarian-Chili-in-The-World-NatashaForestBrown-1x1-1-1290da8f7186491aa02b32a8ba57306d.jpg","1 tablespoon olive oil, 0.5 medium onion, chopped, 2 tablespoons dried oregano, 1 tablespoon salt, 1 teaspoon ground cumin, 2 bay leaves, 2 stalks celery, chopped, 2 green bell peppers, chopped, 2 jalapeno peppers, chopped, 3 cloves garlic, chopped, 2 (4 ounce) cans chopped green chile peppers, drained, 2 (12 ounce) packages vegetarian burger crumbles, 3 (28 ounce) cans whole peeled tomatoes, crushed, 0.25 cup chili powder, 1 tablespoon ground black pepper, 1 (15 ounce) can kidney beans, drained, 1 (15 ounce) can garbanzo beans, drained, 1 (15 ounce) can black beans, 1 (15 ounce) can whole kernel corn","15 min","8","75 min","2022-12-17T18:13:28Z"
"https://www.allrecipes.com/recipe/51283/maple-salmon/","Maple Salmon","20 min","These maple-glazed salmon fillets are marinated and baked in a tasty sauce made with maple syrup, soy sauce, and garlic for an easy but elegant meal.","Stir maple syrup, soy sauce, garlic, garlic salt, and pepper together in a small bowl; Cut salmon into 4 equal-sized fillets; place in a shallow glass baking dish and coat with maple syrup mixture. Cover the dish and marinate salmon in the refrigerator for 30 minutes, turning once halfway; Preheat the oven to 400 degrees F (200 degrees C); Place the baking dish in the preheated oven and bake salmon uncovered until flesh easily flakes with a fork, about 20 minutes.","https://www.allrecipes.com/thmb/BeBtXjp41rBoxR62f1d_qCfp1n8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/862371-cd7a4b6c481f444382e3f69273b982f9.jpg","0.25 cup maple syrup, 2 tablespoons soy sauce, 1 clove garlic, minced, 0.25 teaspoon garlic salt, 0.125 teaspoon ground black pepper, 1 pound salmon","10 min","4","60 min","2022-12-17T18:13:29Z"
"https://www.allrecipes.com/recipe/76954/roasted-new-red-potatoes/","Roasted New Red Potatoes","20 min","Roasted red potatoes tossed with olive oil, salt, and pepper, then cooked in the oven until tender in the middle and perfectly crisp on the outside.","Preheat the oven to 400 degrees F (200 degrees C) and adjust the oven rack to the lowest position; Toss potatoes with oil, salt, and pepper in a bowl. Arrange, cut-side down, on a rimmed cookie sheet or jellyroll pan; Roast potatoes in the preheated oven until tender and golden brown, 20 to 30 minutes. Transfer to a serving dish.","https://www.allrecipes.com/thmb/ZaL1tHrFaKMxmnRQU7FvJj0kKt0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/644668-8c07cad9cd1c4cf79a658424db03de6d.jpg","3 pounds small red new potatoes, halved, 0.25 cup olive oil, 1 teaspoon salt and freshly ground black pepper","5 min","8","25 min","2022-12-17T18:13:30Z"
"https://www.allrecipes.com/recipe/15559/black-beans-and-rice/","Black Beans and Rice","25 min","Black beans and rice flavored with garlic, cumin, and cayenne pepper makes a wholesome, budget-friendly, vegetarian meal or tasty side dish.","Heat oil in a saucepan over medium-high heat. Add onion and garlic; cook and stir until onion has softened, about 4 minutes. Stir in rice to coat; cook and stir for 2 minutes; Add vegetable broth and bring to a boil. Cover, reduce to a simmer, and cook until liquid is absorbed, about 20 minutes; Stir in beans, cumin, and cayenne; cook until beans are warmed through.","https://www.allrecipes.com/thmb/KwTKa17RBxGi-f8YCjPY3J07X-g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Black-Beans-and-Rice-by-House-of-Aqua-2119665_original-4e87fb50007047deb0756d83d15591b7.jpg","1 teaspoon olive oil, 1 onion, chopped, 2 cloves garlic, minced, 0.75 cup uncooked white rice, 1.5 cups low sodium, low fat vegetable broth, 3.5 cups canned black beans, drained, 1 teaspoon ground cumin, 0.25 teaspoon cayenne pepper","5 min","6","30 min","2022-12-17T18:13:31Z"
"https://www.allrecipes.com/recipe/220642/quick-and-easy-refried-beans/","Quick and Easy Refried Beans","10 min","This easy refried beans recipe is made with pinto beans, garlic, spices, and lime in just 20 minutes. Perfect for Taco Tuesdays or any weeknight!","Heat canola oil in a heavy skillet over medium heat; Cook garlic cloves in hot oil, turning once, until brown on both sides, 4 to 5 minutes. Smash garlic cloves in the skillet with a fork; Stir pinto beans, cumin, chili powder, and salt into mashed garlic and cook until beans are thoroughly heated, about 5 minutes. Stir occasionally; Smash bean mixture with a potato masher to desired texture. Squeeze lime juice over smashed beans and stir until combined.","https://www.allrecipes.com/thmb/Q6yXuSHLc31vFhSguqD1pPxJIE8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1010236-12ea61759d8b449e868e5bf187c9a1ca.jpg","2 tablespoons canola oil, 2 garlic cloves, peeled, 2 (15 ounce) cans pinto beans, 1 teaspoon cumin, 1 teaspoon chili powder, salt to taste, 0.5 lime, juiced","10 min","6","20 min","2022-12-17T18:13:31Z"
"https://www.allrecipes.com/recipe/80969/simple-turkey-chili/","Simple Turkey Chili","45 min","This turkey chili recipe is made with ground turkey, tomatoes, kidney beans, and spices that make it super flavorful. Even better on the second day!","Heat oil in a large pot over medium heat. Add turkey; cook and stir until evenly browned, 6 to 8 minutes. Stir in onion and cook until tender; Add water; mix in tomatoes, kidney beans, and garlic. Stir in chili powder, paprika, oregano, cayenne pepper, cumin, salt, and pepper; Bring to a boil. Reduce heat to low, cover, and simmer for 30 minutes.","https://www.allrecipes.com/thmb/UnFVb6rk5IMr8Lo70O7v2jpEmFM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/80969-Simple-Turkey-Chili-Nerdbox-10e14445e6c04cf697863a304bab5cdb.jpeg","1.5 teaspoons olive oil, 1 pound ground turkey, 1 onion, chopped, 2 cups water, 1 (28 ounce) can canned crushed tomatoes, 1 (16 ounce) can canned kidney beans - drained, rinsed, and mashed, 1 tablespoon garlic, minced, 2 tablespoons chili powder, 0.5 teaspoon paprika, 0.5 teaspoon dried oregano, 0.5 teaspoon ground cayenne pepper, 0.5 teaspoon ground cumin, 0.5 teaspoon salt, 0.5 teaspoon ground black pepper","15 min","8","60 min","2022-12-17T18:13:32Z"
"https://www.allrecipes.com/recipe/85839/out-of-this-world-turkey-brine/","Out of This World Turkey Brine","","This smoked turkey brine recipe makes a juicy, flavorful turkey. It&#39;s easy to make with water, salt, brown sugar, Worcestershire, garlic, and pepper.","Mix together water, salt, brown sugar, Worcestershire sauce, garlic, and pepper in a food-grade bucket or container large enough to hold your turkey. Carefully submerge turkey in brine; Cover and store in the refrigerator. Soak for two days before smoking or roasting.","https://www.allrecipes.com/thmb/t5s2DPNX4DyCuJqtKerlSsjw_uc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7392436-382988a9d8234c8cac3e438ef0dafa94.jpg","2 gallons water, 1.5 cups canning salt, 0.33333334326744 cup brown sugar, 0.25 cup Worcestershire sauce, 3 tablespoons minced garlic, 1 tablespoon ground black pepper","10 min","12","10 min","2022-12-17T18:13:33Z"
"https://www.allrecipes.com/recipe/38214/creole-seasoning-blend/","Creole Seasoning Blend","","This Creole seasoning adds amazing flavor to rice, meats, soups, and stews with a spice blend of paprika, onion, garlic, oregano, thyme, and cayenne.","Combine paprika, salt, onion powder, garlic powder, oregano, basil, thyme, black pepper, white pepper, and cayenne pepper; Store in an airtight container.","https://www.allrecipes.com/thmb/LHk0EnptJhtJJ3saw9KenHU_Fg0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5031552-9db50e506e4c4eaebca7b833dfcc7558.jpg","5 tablespoons paprika, 3 tablespoons salt, 2 tablespoons onion powder, 2 tablespoons garlic powder, 2 tablespoons dried oregano, 2 tablespoons dried basil, 1 tablespoon dried thyme, 1 tablespoon black pepper, 1 tablespoon white pepper, 1 tablespoon cayenne pepper","5 min","20","5 min","2022-12-17T18:13:33Z"
"https://www.allrecipes.com/recipe/6773/simple-whole-wheat-bread/","Simple Whole Wheat Bread","25 min","This honey whole wheat bread recipe is proof that wonderful flavor, texture, and aroma can be had if you just follow a straightforward game plan.","Mix warm water, yeast, and 1/3 cup honey in a large bowl to dissolve. Add 5 cups bread flour, and stir to combine. Let sit for 30 minutes, or until big and bubbly; Mix in 3 tablespoons melted butter, remaining 1/3 cup honey, and salt. Stir in 2 cups whole wheat flour. Transfer dough to a floured work surface and gradually knead in remaining 2 cups whole wheat flour. Knead until dough starts to pull away from the work surface, adding more whole wheat flour if necessary; dough should be a bit tacky to the touch, but not too sticky; Place in a greased bowl, turning once to coat the surface of the dough. Cover with a dish towel and let rise in a warm place until doubled, 45 minutes to 1 hour; Grease three 9x5-inch loaf pans. Punch down the dough, and divide it into 3 loaves. Place in the prepared loaf pans, and allow to rise until dough has topped the pans by one inch, another 45 minutes to 1 hour; Meanwhile, preheat the oven to 350 degrees F (175 degrees C); Bake the risen loaves in the preheated oven until golden brown for 25 to 30 minutes, do not overbake; Lightly brush the tops of the loaves with remaining 2 tablespoons melted butter when done to prevent crust from getting hard. Cool completely.","https://www.allrecipes.com/thmb/ZPxjwFaOQZ3jb_Mx-L9_Nak8wF8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8440945-simple-whole-wheat-bread-xiommy-1x1-1-7a0d51ee424d4eb488282d466e1f7e0a.jpg","3 cups warm water (110 degrees F/45 degrees C), 2 (.25 ounce) packages active dry yeast, 0.667 cup honey, divided, 5 cups bread flour, 5 tablespoons butter, melted, divided, 1 tablespoon salt, 4 cups whole wheat flour, or more as needed","25 min","36","170 min","2022-12-17T18:13:34Z"
"https://www.allrecipes.com/recipe/70163/easy-baked-tilapia/","Easy Baked Tilapia","25 min","This baked tilapia recipe with simple ingredients is super easy to prepare, and ready in 30 minutes for a quick and delicious weeknight meal.","Preheat the oven to 375 degrees F (190 degrees F). Grease a 9x13-inch baking dish; Place tilapia fillets in the bottom of the baking dish, then dot with butter and season with garlic salt and seafood seasoning. Top each fillet with a slice or two of lemon. Arrange frozen mixed vegetables around fillets and season lightly with salt and pepper. Cover the dish with aluminum foil; Bake in the preheated oven until vegetables are tender and fish flakes easily with a fork, 25 to 30 minutes.","https://www.allrecipes.com/thmb/gpRl97CEJr5OQrMtnQKS2dMIjD0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/70163-easy-baked-tilapia-ddmfs-0422-1x1-1-ea226c5b17d24ead95f2c573d6d2ab1a.jpg","4 (4 ounce) fillets tilapia, 2 teaspoons butter, 0.5 teaspoon garlic salt, or to taste, 0.25 teaspoon seafood seasoning (such as Old Bay®), or to taste, 1 lemon, sliced, 1 (16 ounce) package frozen cauliflower with broccoli and red pepper, salt and ground black pepper to taste","5 min","4","30 min","2022-12-17T18:13:35Z"
"https://www.allrecipes.com/recipe/20963/oven-roasted-potatoes/","Oven Roasted Potatoes","30 min","Roasted potatoes coated with olive oil, garlic, herbs, and crushed red pepper flakes make a deliciously crispy, flavor-packed potato side dish.","Preheat the oven to 475 degrees F (245 degrees C); Combine oil, garlic, basil, marjoram, dill, thyme, oregano, parsley, pepper flakes, and salt in a large bowl; stir in potatoes until evenly coated. Place potatoes in a single layer on a roasting pan or baking sheet; Roast in the preheated oven, turning occasionally to brown on all sides, until tender, about 20 to 30 minutes.","https://www.allrecipes.com/thmb/AIyZFdUCray66dV8m5v0Uss80RE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/20963-oven-roasted-potatoes-1x1-481-copy-88148197e5a84492885f024781689c4f.jpg","0.125 cup olive oil, 1 tablespoon minced garlic, 0.5 teaspoon dried basil, 0.5 teaspoon dried marjoram, 0.5 teaspoon dried dill weed, 0.5 teaspoon dried thyme, 0.5 teaspoon dried oregano, 0.5 teaspoon dried parsley, 0.5 teaspoon crushed red pepper flakes, 0.5 teaspoon salt, 4 large potatoes, peeled and cubed","15 min","4","45 min","2022-12-17T18:13:35Z"
"https://www.allrecipes.com/recipe/46982/pesto-pasta-with-chicken/","Pesto Pasta with Chicken","20 min","Easy chicken pesto pasta recipe made with sautéed garlic chicken tossed with bow tie pasta, sun-dried tomatoes, and pesto sauce, ready in 30 minutes.","Bring a large pot of lightly salted water to a boil. Add pasta and cook until al dente, 8 to 10 minutes; drain; Heat oil in a large skillet over medium heat. Sauté garlic until tender, then stir in chicken and season with red pepper flakes. Cook until chicken is golden and cooked through; Combine pasta, chicken, pesto, and sun-dried tomatoes in a large bowl; toss to coat evenly.","https://www.allrecipes.com/thmb/pRj_J6ExG2Q6iG9ltkSI1lj3QMo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/image-6-9532607d48a248b48ddc4a3588ae1b9c.jpg","1 (16 ounce) package bow tie pasta, 1 teaspoon olive oil, 2 cloves garlic, minced, 2 skinless, boneless chicken breasts, cut into bite-sized pieces, 1 pinch crushed red pepper flakes, or to taste, 0.5 cup pesto sauce, 0.33333334326744 cup oil-packed sun-dried tomatoes, drained and cut into strips","10 min","8","30 min","2022-12-17T18:13:36Z"
"https://www.allrecipes.com/recipe/19963/fajita-marinade-i/","Fajita Marinade","","Delicious fajita marinade made with lime juice, olive oil, and soy sauce, and spiced up with cayenne and black pepper. Makes enough marinade for 2 pounds of meat.","In a large resealable plastic bag, mix together the lime juice, water, olive oil, garlic, soy sauce, salt, and liquid smoke flavoring. Stir in cayenne and black pepper; Place desired meat in the marinade, and refrigerate at least 2 hours, or overnight. Cook as desired.","https://www.allrecipes.com/thmb/fcqpq-TXw5DmrbMxXsjyruut7ec=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/687200_Fajita-Marinade-I_Photo-by-Rachelle-Shockey-c8d7262436524aedb6d8dfbccf0d41ad.jpg","0.25 cup lime juice, 0.33333334326744 cup water, 2 tablespoons olive oil, 4 cloves garlic, crushed, 2 teaspoons soy sauce, 1 teaspoon salt, 0.5 teaspoon liquid smoke flavoring, 0.5 teaspoon cayenne pepper, 0.5 teaspoon ground black pepper","15 min","16","15 min","2022-12-17T18:13:36Z"
"https://www.allrecipes.com/recipe/229166/grilled-veggie-skewers/","Grilled Veggie Skewers","10 min","Colorful veggie kabobs packed with garden produce (and pineapple!) brighten any meal. Serve them as a light, summery main course or flavorful side.","Preheat a grill for medium heat and lightly oil the grate. Alternately thread pineapple chunks, zucchini slices, yellow squash slices, mushrooms, onion chunks, tomatoes, and bell pepper chunks onto skewers; Whisk olive oil, basil, oregano, salt, and black pepper in a bowl; brush some of the mixture over vegetables; Cook skewers on the preheated grill until vegetables are tender, turning and basting vegetables with remaining olive oil mixture occasionally, 10 to 15 minutes.","https://www.allrecipes.com/thmb/Pjnu0_YHcIYLlxwisZLSQeX3QvI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1968731-daca7034ebbf49fd85fd2da3cd180e1b.jpg","1 fresh pineapple, cut into chunks, 2 medium zucchinis, cut into 1-inch slices, 2 medium yellow squash, cut into 1-inch slices, 0.5 pound whole fresh mushrooms, 1 medium red onion, cut into chunks, 12 cherry tomatoes, 1 medium red bell pepper, cut into chunks, 8 bamboo skewers, soaked in water for 20 minutes, 0.33333334326744 cup olive oil, 1.5 teaspoons dried basil, 0.75 teaspoon dried oregano, 0.5 teaspoon salt, 0.125 teaspoon ground black pepper","10 min","4","20 min","2022-12-17T18:13:38Z"
"https://www.allrecipes.com/recipe/215314/slow-cooker-baked-potatoes/","Slow Cooker Baked Potatoes","270 min","These crockpot baked potatoes are seasoned with olive oil and salt, wrapped in foil, then cooked in a slow cooker for 4 hours until soft and fluffy.","Prick potatoes with a fork several times, then rub with olive oil and season with salt. Wrap tightly in foil and place into the slow cooker; Cook until tender, on Low for 7 1/2 hours or on High for 4 1/2 to 5 hours.","https://www.allrecipes.com/thmb/CGaya2aiPDclRcCAFZFPdn5iF4A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4526061-slow-cooker-baked-potatoes-Christina-1x1-1-9c03ad3d59704529b87d37e59232c83c.jpg","4 baking potatoes, well scrubbed, 1 tablespoon extra virgin olive oil, kosher salt to taste, 4 sheets aluminum foil","10 min","4","280 min","2022-12-17T18:13:38Z"
