"title_name","title_provider","title_provider_location","description","all_logos","all_reviews","website_url","page_url"
"Parsers.vc","","USA","Learn about Parsers.vc’s prices, subscription cost, and API pricing.
The supported pricing models for Parsers.vc’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Parsers.vc team to receive custom pricing options,
                information about data subscription fees, and quotes for Parsers.vc’s data offering tailored to your use case.","","","https://parsers.vc/","https://datarade.ai/data-providers/parsers-vc/
"
"Starzdata","","France","Learn about Starzdata’s prices, subscription cost, and API pricing.
The supported pricing models for Starzdata’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Starzdata team to receive custom pricing options,
                information about data subscription fees, and quotes for Starzdata’s data offering tailored to your use case.","","","https://starzdata-25371457.hubspotpagebuilder.eu/en/starzdata-search-evaluate-and-access-all-information-sources","https://datarade.ai/data-providers/starzdata/
"
"Measure Protocol","","United Kingdom","Learn about Measure Protocol’s prices, subscription cost, and API pricing.
The supported pricing models for Measure Protocol’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Measure Protocol team to receive custom pricing options,
                information about data subscription fees, and quotes for Measure Protocol’s data offering tailored to your use case.","","","https://measureprotocol.com/","https://datarade.ai/data-providers/measure-protocol/
"
"PHP TRAVELS","","Pakistan","Learn about PHP TRAVELS’s prices, subscription cost, and API pricing.
The supported pricing models for PHP TRAVELS’s data are available by getting in contact with them via Datarade.
Get talking to a member of the PHP TRAVELS team to receive custom pricing options,
                information about data subscription fees, and quotes for PHP TRAVELS’s data offering tailored to your use case.","","","https://phptravels.com/","https://datarade.ai/data-providers/php-travels/
"
"Sales Lead Store","","USA","Learn about Sales Lead Store’s prices, subscription cost, and API pricing.
The supported pricing models for Sales Lead Store’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Sales Lead Store team to receive custom pricing options,
                information about data subscription fees, and quotes for Sales Lead Store’s data offering tailored to your use case.","","","https://saleslead.net/","https://datarade.ai/data-providers/sales-lead-store/
"
"ChinaTickData","","Taiwan","Learn about ChinaTickData’s prices, subscription cost, and API pricing.
The supported pricing models for ChinaTickData’s data are available by getting in contact with them via Datarade.
Get talking to a member of the ChinaTickData team to receive custom pricing options,
                information about data subscription fees, and quotes for ChinaTickData’s data offering tailored to your use case.","","","https://www.chinatickdata.com/","https://datarade.ai/data-providers/chinatickdata/
"
"Utradea","","Canada","Learn about Utradea’s prices, subscription cost, and API pricing.
The supported pricing models for Utradea’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Utradea team to receive custom pricing options,
                information about data subscription fees, and quotes for Utradea’s data offering tailored to your use case.","","","https://utradea.com/","https://datarade.ai/data-providers/utradea/
"
"Docket Alarm","","USA","Learn about Docket Alarm’s prices, subscription cost, and API pricing.
The supported pricing models for Docket Alarm’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Docket Alarm team to receive custom pricing options,
                information about data subscription fees, and quotes for Docket Alarm’s data offering tailored to your use case.","","","https://www.docketalarm.com/","https://datarade.ai/data-providers/docket-alarm/
"
"Angry Apples Marketing","","USA","Learn about Angry Apples Marketing’s prices, subscription cost, and API pricing.
The supported pricing models for Angry Apples Marketing’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Angry Apples Marketing team to receive custom pricing options,
                information about data subscription fees, and quotes for Angry Apples Marketing’s data offering tailored to your use case.","","","https://goangry.com/about/","https://datarade.ai/data-providers/angry-apples-marketing/
"
"ProJobNetwork","","USA","Explore ProJobNetwork’s datasets, databases, and data feeds.
ProJobNetwork’s APIs and datasets start at $100.
ProJobNetwork offers free samples for individual data requirements.
Get talking to a member of the ProJobNetwork team to receive custom pricing options,
                information about data subscription fees, and quotes for ProJobNetwork’s data offering tailored to your use case.","","","https://www.projobnetwork.com/","https://datarade.ai/data-providers/projobnetwork/"
"Contora Inc.","","USA","Explore Contora Inc.’s datasets, databases, and data feeds.
The price for connecting to our data stream starts from $1,500/month up to $7,500/month. It depends on the number of metrics you want to track, the companies you are interested in, and the frequency of requests. To receive a detailed price estimation, just drop us a line at vlad@contora.ai, we will be excited to guide you!


        Contora Inc.’s APIs and datasets range in cost from $1,500 / purchase to
          $28,800 / year.
Contora Inc. offers free samples for individual data requirements.
Get talking to a member of the Contora Inc. team to receive custom pricing options,
                information about data subscription fees, and quotes for Contora Inc.’s data offering tailored to your use case.","https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_7da51ad27cf857d4.png"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_1e83727954031e8a.png"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_a7c8832e32eb1165.png"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_33fb40ea114dc28d.png"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_0f791c5c595510f8.png"" ","","https://contora.ai","https://datarade.ai/data-providers/contora-inc/
"
"Valgen","","USA","Learn about Valgen’s prices, subscription cost, and API pricing.
The supported pricing models for Valgen’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Valgen team to receive custom pricing options,
                information about data subscription fees, and quotes for Valgen’s data offering tailored to your use case.","","","https://datarade.ai/data-providers/valgen","https://datarade.ai/data-providers/valgen/
"
"Authoritas","","United Kingdom","Learn about Authoritas ’s prices, subscription cost, and API pricing.
The supported pricing models for Authoritas ’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Authoritas  team to receive custom pricing options,
                information about data subscription fees, and quotes for Authoritas ’s data offering tailored to your use case.","","","https://www.authoritas.com/","https://datarade.ai/data-providers/authoritas/
"
"TNEX Digital Bank","","Vietnam","Learn about TNEX Digital Bank’s prices, subscription cost, and API pricing.
The supported pricing models for TNEX Digital Bank’s data are available by getting in contact with them via Datarade.
Get talking to a member of the TNEX Digital Bank team to receive custom pricing options,
                information about data subscription fees, and quotes for TNEX Digital Bank’s data offering tailored to your use case.","","","https://datarade.ai/data-providers/tnex-digital-bank","https://datarade.ai/data-providers/tnex-digital-bank/
"
"Live Data","","","Learn about Live Data’s prices, subscription cost, and API pricing.
Live Data has not published pricing information for their data services. This is common practice for data vendors and providers. Contact Live Data to obtain current pricing.","","","https://www.livedatatechnologies.com","https://datarade.ai/data-providers/live-data/
"
"Proxycurl","","","Learn about Proxycurl’s prices, subscription cost, and API pricing.
Proxycurl has not published pricing information for their data services. This is common practice for data vendors and providers. Contact Proxycurl to obtain current pricing.","","","https://nubela.co/proxycurl/","https://datarade.ai/data-providers/proxycurl/
"
"The Spatial Distillery Company","","Australia","Explore The Spatial Distillery Company’s datasets, databases, and data feeds.
The Spatial Distillery Company’s APIs and datasets start at $500.
The Spatial Distillery Company offers free samples for individual data requirements.
Get talking to a member of the The Spatial Distillery Company team to receive custom pricing options,
                information about data subscription fees, and quotes for The Spatial Distillery Company’s data offering tailored to your use case.","https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_5313546d6552025a.png"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_fa275d250b1cd171.png"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_b6fdcf9b66a02679.png"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_3a5378fa6132e211.png"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_d362b831f23d0242.png"" ","","https://spatialdistillery.com/","https://datarade.ai/data-providers/the-spatial-distillery-company/
"
"Clootrack","","India","Explore Clootrack’s datasets, databases, and data feeds.
We provide quality approved datasets and reports on demand and on subscription.
There are various pricing models that we offer.
• Monthly subscription of $2,999 / month
• Yearly subscription of $35,000
• We offer historic data on request


        Clootrack’s APIs and datasets range in cost from $999 / month to
          $35,000 / year.
Clootrack offers free samples for individual data requirements.
Get talking to a member of the Clootrack team to receive custom pricing options,
                information about data subscription fees, and quotes for Clootrack’s data offering tailored to your use case.","https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_5862532d00edd8b1.png"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_db04e444be606a8b.jpg"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_1ad67ae792ccecf4.jpg"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_d4fcc307119ea719.png"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_c58d05b1ae53a148.png"" ","","https://clootrack.com/","https://datarade.ai/data-providers/clootrack/
"
"Target NXT","5.0(1)Verified Data Provider","India","Learn about Target NXT’s prices, subscription cost, and API pricing.
The supported pricing models for Target NXT’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Target NXT team to receive custom pricing options,
                information about data subscription fees, and quotes for Target NXT’s data offering tailored to your use case.","","Anonymous,Hidden Company","https://datarade.ai/data-providers/target-nxt","https://datarade.ai/data-providers/target-nxt/
"
"C Insights Africa","4.8(1)Verified Data Provider","Nigeria","Explore C Insights Africa’s datasets, databases, and data feeds.
Price Range: 
*$50 - $300 per dataset
*These are instantly downloadable data of 40- 100 pages. Price depends on variables such as the sector and client contract type.
** Subscription: $500 - $3000 per annum. (Other subscription plans are available on request).
***Data Service: Pricing is based on request


        C Insights Africa’s APIs and datasets range in cost from $50 / purchase to
          $500 / year.
C Insights Africa offers free samples for individual data requirements.
Get talking to a member of the C Insights Africa team to receive custom pricing options,
                information about data subscription fees, and quotes for C Insights Africa’s data offering tailored to your use case.","","Victoria Odimba,Hidden Company","https://cinsightsafrica.com/","https://datarade.ai/data-providers/c-insights-africa/
"
"mnAI Data Solutions","","United Kingdom","Learn about mnAI Data Solutions’ prices, subscription cost, and API pricing.
The supported pricing models for mnAI Data Solutions’ data are available by getting in contact with them via Datarade.
Get talking to a member of the mnAI Data Solutions team to receive custom pricing options,
                information about data subscription fees, and quotes for mnAI Data Solutions’ data offering tailored to your use case.","","","https://www.mnai.tech/","https://datarade.ai/data-providers/mnai-data-solutions/
"
"Trademo","","USA","Learn about Trademo’s prices, subscription cost, and API pricing.
The supported pricing models for Trademo’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Trademo team to receive custom pricing options,
                information about data subscription fees, and quotes for Trademo’s data offering tailored to your use case.","","","https://www.trademo.com/","https://datarade.ai/data-providers/trademo/
"
"Appinio","","Germany","Learn about Appinio’s prices, subscription cost, and API pricing.
The supported pricing models for Appinio’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Appinio team to receive custom pricing options,
                information about data subscription fees, and quotes for Appinio’s data offering tailored to your use case.","","","https://datarade.ai/data-providers/appinio","https://datarade.ai/data-providers/appinio/
"
"Alpha Strike Labs","","Germany","Learn about Alpha Strike Labs’ prices, subscription cost, and API pricing.
The supported pricing models for Alpha Strike Labs’ data are available by getting in contact with them via Datarade.
Get talking to a member of the Alpha Strike Labs team to receive custom pricing options,
                information about data subscription fees, and quotes for Alpha Strike Labs’ data offering tailored to your use case.","","","https://datarade.ai/data-providers/alpha-strike-labs","https://datarade.ai/data-providers/alpha-strike-labs/
"
"Finanvo","","India","Learn about Finanvo’s prices, subscription cost, and API pricing.
The supported pricing models for Finanvo’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Finanvo team to receive custom pricing options,
                information about data subscription fees, and quotes for Finanvo’s data offering tailored to your use case.","","","https://datarade.ai/data-providers/finanvo","https://datarade.ai/data-providers/finanvo/
"
"Gorodata","","Portugal","Review and buy Gorodata’s datasets, effortlessly.
Gorodata’s APIs and datasets start at $450.
Gorodata offers free samples for individual data requirements.
Get talking to a member of the Gorodata team to receive custom pricing options,
                information about data subscription fees, and quotes for Gorodata’s data offering tailored to your use case.","","","https://datarade.ai/data-providers/gorodata","https://datarade.ai/data-providers/gorodata/
"
"Coldlytics","","United Kingdom","Learn about Coldlytics’ prices, subscription cost, and API pricing.
The supported pricing models for Coldlytics’ data are available by getting in contact with them via Datarade.
Get talking to a member of the Coldlytics team to receive custom pricing options,
                information about data subscription fees, and quotes for Coldlytics’ data offering tailored to your use case.","","","https://datarade.ai/data-providers/coldlytics","https://datarade.ai/data-providers/coldlytics/
"
"Lead for Business","5.0(2)Verified Data Provider","United Kingdom","Explore Lead for Business’ datasets, databases, and data feeds.
Pricing Starts from 100$


        Lead for Business’ APIs and datasets range in cost from $100 / purchase to
          $3,000 / Full List.
Lead for Business offers free samples for individual data requirements.
Get talking to a member of the Lead for Business team to receive custom pricing options,
                information about data subscription fees, and quotes for Lead for Business’ data offering tailored to your use case.","https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_bd7a16acbd136260.jpg"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_7eac9700e0a93a0a.jpg"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_5daa68dde36a906a.jpg"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_2fceb4944f5767bd.jpg"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_255fcdb839b90304.png"" ","Maya Harper,Hidden Company; Anonymous,Hidden Company","https://lfbbd.com/","https://datarade.ai/data-providers/lead-for-business/
"
"Fundoodata","","India","Learn about Fundoodata’s prices, subscription cost, and API pricing.
The supported pricing models for Fundoodata’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Fundoodata team to receive custom pricing options,
                information about data subscription fees, and quotes for Fundoodata’s data offering tailored to your use case.","","","https://datarade.ai/data-providers/fundoodata","https://datarade.ai/data-providers/fundoodata/
"
"Urban SDK","","USA","Explore Urban SDK’s datasets, databases, and data feeds.
The supported pricing models for Urban SDK’s data are One-off purchase, Monthly License, and Yearly License.
Urban SDK offers free samples for individual data requirements.
Get talking to a member of the Urban SDK team to receive custom pricing options,
                information about data subscription fees, and quotes for Urban SDK’s data offering tailored to your use case.","","","https://datarade.ai/data-providers/urban-sdk","https://datarade.ai/data-providers/urban-sdk/
"
"FutureBee","","India","Learn about FutureBee’s prices, subscription cost, and API pricing.
FutureBee has not published pricing information for their data services. This is common practice for data vendors and providers. Contact FutureBee to obtain current pricing.","","","https://datarade.ai/data-providers/futurebee","https://datarade.ai/data-providers/futurebee/
"
"Export Genius","","India","Learn about Export Genius’ prices, subscription cost, and API pricing.
Export Genius has not published pricing information for their data services. This is common practice for data vendors and providers. Contact Export Genius to obtain current pricing.","","","https://datarade.ai/data-providers/export-genius-ce5dffbd-5b9a-44c9-9d9c-5c2e03843af4","https://datarade.ai/data-providers/export-genius-ce5dffbd-5b9a-44c9-9d9c-5c2e03843af4/
"
"Tunnl","","USA","Learn about Tunnl’s prices, subscription cost, and API pricing.
The supported pricing models for Tunnl’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Tunnl team to receive custom pricing options,
                information about data subscription fees, and quotes for Tunnl’s data offering tailored to your use case.","","","https://datarade.ai/data-providers/tunnl","https://datarade.ai/data-providers/tunnl/
"
"Asia Research Institute","","Indonesia","Learn about Asia Research Institute’s prices, subscription cost, and API pricing.
The supported pricing models for Asia Research Institute’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Asia Research Institute team to receive custom pricing options,
                information about data subscription fees, and quotes for Asia Research Institute’s data offering tailored to your use case.","","","https://datarade.ai/data-providers/asia-research-institute","https://datarade.ai/data-providers/asia-research-institute/
"
"InfoGlobalData","","USA","Explore InfoGlobalData’s datasets, databases, and data feeds.
InfoGlobalData’s APIs and datasets range in cost from $100 / purchase to
          $100 / .
InfoGlobalData offers free samples for individual data requirements.
Get talking to a member of the InfoGlobalData team to receive custom pricing options,
                information about data subscription fees, and quotes for InfoGlobalData’s data offering tailored to your use case.","https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_a0e768c13e8cf36f.jpg"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_83cfc64acfda30f9.jpg"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_801fc48ccf75e429.png"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_20f3fd9ca5aa1262.png"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_d2b22432ae09c2a4.png"" ","","https://www.infoglobaldata.com","https://datarade.ai/data-providers/infoglobaldata-90771358-4180-40bb-bb13-078d4b136637/
"
"Integriapp","","Mexico","Learn about Integriapp’s prices, subscription cost, and API pricing.
The supported pricing models for Integriapp’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Integriapp team to receive custom pricing options,
                information about data subscription fees, and quotes for Integriapp’s data offering tailored to your use case.","","","https://datarade.ai/data-providers/integriapp","https://datarade.ai/data-providers/integriapp/
"
"DelveInsight Business Research","","India","Learn about DelveInsight Business Research’s prices, subscription cost, and API pricing.
The supported pricing models for DelveInsight Business Research’s data are available by getting in contact with them via Datarade.
Get talking to a member of the DelveInsight Business Research team to receive custom pricing options,
                information about data subscription fees, and quotes for DelveInsight Business Research’s data offering tailored to your use case.","","","https://datarade.ai/data-providers/delveinsight-business-research","https://datarade.ai/data-providers/delveinsight-business-research/
"
"Global Technology Solutions","","India","Learn about Global Technology Solutions’ prices, subscription cost, and API pricing.
The supported pricing models for Global Technology Solutions’ data are available by getting in contact with them via Datarade.
Get talking to a member of the Global Technology Solutions team to receive custom pricing options,
                information about data subscription fees, and quotes for Global Technology Solutions’ data offering tailored to your use case.","","","https://datarade.ai/data-providers/global-technology-solutions","https://datarade.ai/data-providers/global-technology-solutions/
"
"Greene Alpha Data","","USA","Explore Greene Alpha Data’s datasets, databases, and data feeds.
The supported pricing models for Greene Alpha Data’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Greene Alpha Data team to receive custom pricing options,
                information about data subscription fees, and quotes for Greene Alpha Data’s data offering tailored to your use case.","","","https://datarade.ai/data-providers/greene-alpha-data","https://datarade.ai/data-providers/greene-alpha-data/
"
"Dragonberry Data","","USA","Explore Dragonberry Data’s datasets, databases, and data feeds.
The supported pricing models for Dragonberry Data’s data are available by getting in contact with them via Datarade.
Dragonberry Data offers free samples for individual data requirements.
Get talking to a member of the Dragonberry Data team to receive custom pricing options,
                information about data subscription fees, and quotes for Dragonberry Data’s data offering tailored to your use case.","","","https://dragonberrydata.com/","https://datarade.ai/data-providers/dragonberry-data/
"
"GaiaLens","","United Kingdom","Review and buy GaiaLens’ datasets, effortlessly.
We offer our services in two ways:
1) You can buy yearly licenses to access our full ESG Analytics Platform charged on a monthly basis, which includes all our data refreshed daily. The GaiaLens platform is comprised of a suite of tools to help investors fulfil their ESG needs including portfolio reporting, investment screening, and deep-dive research capabilities. Request a demo here: https://www.gaia-lens.com/demo
2) You can purchase our data including our ESG scores and some of our proprietary underlying raw data points. We have very flexible data packages where you can buy data outright from us or subscribe to our API so that you can get our latest data in real-time.


        GaiaLens’ APIs and datasets range in cost from $500 / month to
          $10,000 / year.
GaiaLens offers free samples for individual data requirements.
Get talking to a member of the GaiaLens team to receive custom pricing options,
                information about data subscription fees, and quotes for GaiaLens’ data offering tailored to your use case.","","","https://www.gaia-lens.com/","https://datarade.ai/data-providers/gaialens/
"
"Geojunxion","","Netherlands","Explore Geojunxion’s datasets, databases, and data feeds.
Our flexible pricing models for our API’s and datasets include standard one-time payments as well as subscription models based on individual customer requirements and data use-cases such as limited/unlimited usage, transaction based, installation based, in-house or external usage. Free samples are available based on the specific data request.


        Geojunxion’s APIs and datasets range in cost from €175 / purchase to
          €7,500 / purchase.
Geojunxion offers free samples for individual data requirements.
Get talking to a member of the Geojunxion team to receive custom pricing options,
                information about data subscription fees, and quotes for Geojunxion’s data offering tailored to your use case.","https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_036f86acfee720b9.PNG"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_2834fa91458ff20e.PNG"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_c9729d3906ff5380.PNG"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_33b4d6c07e7652a0.PNG"" ; https://datarade.ams3.cdn.digitaloceanspaces.com/images/production/vendor_credibility_attachment/_46441fe1d89357bf.jpg"" ","","https://www.geojunxion.com","https://datarade.ai/data-providers/geojunxion/
"
"Harmonya","","USA","Learn about Harmonya’s prices, subscription cost, and API pricing.
The supported pricing models for Harmonya’s data are available by getting in contact with them via Datarade.
Get talking to a member of the Harmonya team to receive custom pricing options,
                information about data subscription fees, and quotes for Harmonya’s data offering tailored to your use case.","","","https://datarade.ai/data-providers/harmonya","https://datarade.ai/data-providers/harmonya/
"
"Syntegra","","USA","Explore Syntegra’s datasets, databases, and data feeds.
The supported pricing models for Syntegra’s data are Monthly License and Yearly License.
Get talking to a member of the Syntegra team to receive custom pricing options,
                information about data subscription fees, and quotes for Syntegra’s data offering tailored to your use case.","","","https://www.syntegra.io/","https://datarade.ai/data-providers/syntegra/
"
"EMAlpha","","USA","Learn about EMAlpha’s prices, subscription cost, and API pricing.
The supported pricing models for EMAlpha’s data are available by getting in contact with them via Datarade.
Get talking to a member of the EMAlpha team to receive custom pricing options,
                information about data subscription fees, and quotes for EMAlpha’s data offering tailored to your use case.","","","https://datarade.ai/data-providers/emalpha","https://datarade.ai/data-providers/emalpha/
"
"NewMark Risk","","USA","Learn about NewMark Risk’s prices, subscription cost, and API pricing.
The supported pricing models for NewMark Risk’s data are available by getting in contact with them via Datarade.
Get talking to a member of the NewMark Risk team to receive custom pricing options,
                information about data subscription fees, and quotes for NewMark Risk’s data offering tailored to your use case.","","","https://datarade.ai/data-providers/newmark-risk","https://datarade.ai/data-providers/newmark-risk/
"
